geoid,State,age,season,MMWR Year/Week,Deaths from influenza
State,Alaska,All,2009-10,201004,0
State,Florida,All,2009-10,201016,0
State,District of Columbia,All,2009-10,201020,0
State,Rhode Island,All,2009-10,201038,0
State,Missouri,All,2009-10,201008,0
State,New York City,All,2009-10,201038,0
State,Nevada,All,2009-10,200948,0
State,Idaho,All,2009-10,201037,0
National,NA,65 years and older,2009-10,201008,7
State,Louisiana,All,2009-10,201007,0
State,Mississippi,All,2009-10,201022,0
State,Colorado,All,2009-10,201028,0
State,Vermont,All,2009-10,201011,0
State,Colorado,All,2009-10,201003,0
State,Mississippi,All,2009-10,201024,0
State,Colorado,All,2009-10,201021,0
Region,NA,All,2009-10,201033,2
State,North Carolina,All,2009-10,201033,0
State,New York City,All,2009-10,201025,0
State,Kansas,All,2009-10,201032,0
State,Utah,All,2009-10,200944,0
State,Kentucky,All,2009-10,201011,0
State,Nevada,All,2009-10,201035,0
State,Montana,All,2009-10,201020,0
State,California,All,2009-10,201020,0
Region,NA,All,2009-10,201035,0
State,Arizona,All,2009-10,201018,0
State,Massachusetts,All,2009-10,200949,0
State,New Mexico,All,2009-10,200940,0
Region,NA,All,2009-10,201008,7
State,New Jersey,All,2009-10,201005,0
State,Hawaii,All,2009-10,201005,0
State,Texas,All,2009-10,200949,0
State,South Carolina,All,2009-10,201029,0
State,New Hampshire,All,2009-10,201018,0
State,Oregon,All,2009-10,201026,0
State,Nebraska,All,2009-10,201012,0
State,New Mexico,All,2009-10,201037,0
State,New Jersey,All,2009-10,200946,0
State,South Dakota,All,2009-10,201030,0
Region,NA,All,2009-10,201038,0
Region,NA,All,2009-10,201018,5
State,Michigan,All,2009-10,200943,0
State,Ohio,All,2009-10,201006,0
Region,NA,All,2009-10,200940,1
State,California,All,2009-10,201006,0
National,NA,0-17 years,2009-10,201028,3
State,Montana,All,2009-10,200945,0
State,Oregon,All,2009-10,200951,0
Region,NA,All,2009-10,201034,0
State,New Jersey,All,2009-10,201018,0
State,Kentucky,All,2009-10,201031,0
Region,NA,All,2009-10,200946,16
State,North Carolina,All,2009-10,201013,0
Region,NA,All,2009-10,201005,7
Region,NA,All,2009-10,201029,0
National,NA,All,2009-10,200941,174
Region,NA,All,2009-10,201036,1
State,Alabama,All,2009-10,201015,0
State,Maryland,All,2009-10,201027,0
State,New Mexico,All,2009-10,200944,0
State,Maine,All,2009-10,201019,0
State,Oklahoma,All,2009-10,200946,0
State,Michigan,All,2009-10,201003,0
State,Alaska,All,2009-10,201028,0
State,District of Columbia,All,2009-10,201011,0
State,Rhode Island,All,2009-10,201014,0
State,Delaware,All,2009-10,201030,0
State,Texas,All,2009-10,201026,0
Region,NA,All,2009-10,200946,16
State,Colorado,All,2009-10,201023,0
State,Wisconsin,All,2009-10,201004,0
State,Indiana,All,2009-10,201025,0
State,West Virginia,All,2009-10,201033,0
State,Indiana,All,2009-10,201027,0
State,Oklahoma,All,2009-10,201019,0
State,Kansas,All,2009-10,201026,0
State,Michigan,All,2009-10,200945,0
State,California,All,2009-10,200952,0
State,Delaware,All,2009-10,201028,0
State,Iowa,All,2009-10,200947,0
State,California,All,2009-10,201026,0
State,Illinois,All,2009-10,201022,0
State,Mississippi,All,2009-10,201027,0
State,Arkansas,All,2009-10,201038,0
State,Oregon,All,2009-10,201001,0
State,Florida,All,2009-10,201004,0
State,Maryland,All,2009-10,201033,0
State,Nebraska,All,2009-10,201032,0
National,NA,65 years and older,2009-10,201020,2
State,Oklahoma,All,2009-10,201027,0
State,Rhode Island,All,2009-10,200943,0
State,Iowa,All,2009-10,200941,0
State,New Hampshire,All,2009-10,200949,0
State,New Jersey,All,2009-10,201008,0
Region,NA,All,2009-10,200940,1
Region,NA,All,2009-10,201021,1
State,Maryland,All,2009-10,201035,0
State,Indiana,All,2009-10,201015,0
State,Georgia,All,2009-10,200947,0
State,Maine,All,2009-10,201026,0
State,Montana,All,2009-10,201016,0
Region,NA,All,2009-10,201013,1
State,Montana,All,2009-10,201005,0
State,Mississippi,All,2009-10,201025,0
State,Mississippi,All,2009-10,200949,0
State,Ohio,All,2009-10,201017,0
Region,NA,All,2009-10,200944,23
State,Vermont,All,2009-10,201015,0
Region,NA,All,2009-10,201012,0
State,Pennsylvania,All,2009-10,200940,0
State,Virginia,All,2009-10,200951,0
Region,NA,All,2009-10,201035,0
State,Massachusetts,All,2009-10,201028,0
Region,NA,All,2009-10,201016,1
National,NA,All,2009-10,201032,5
State,New Mexico,All,2009-10,201038,0
State,Maine,All,2009-10,200945,0
State,Missouri,All,2009-10,201032,0
State,Rhode Island,All,2009-10,201007,0
State,Vermont,All,2009-10,201034,0
State,Arkansas,All,2009-10,200950,0
State,Arkansas,All,2009-10,201017,0
State,Maryland,All,2009-10,201024,0
State,Wisconsin,All,2009-10,200945,0
State,District of Columbia,All,2009-10,201028,0
State,Idaho,All,2009-10,200950,0
State,Illinois,All,2009-10,201011,0
State,Idaho,All,2009-10,201031,0
State,Washington,All,2009-10,201005,0
Region,NA,All,2009-10,201022,0
State,Tennessee,All,2009-10,201006,0
State,Missouri,All,2009-10,200950,0
State,Maine,All,2009-10,201039,0
State,South Dakota,All,2009-10,201027,0
State,Minnesota,All,2009-10,201031,0
State,District of Columbia,All,2009-10,201001,0
State,Pennsylvania,All,2009-10,201005,0
State,New York,All,2009-10,201006,0
State,Maine,All,2009-10,201002,0
State,New York City,All,2009-10,201019,0
State,Massachusetts,All,2009-10,201029,0
State,Tennessee,All,2009-10,201034,0
State,Maryland,All,2009-10,201025,0
State,Virginia,All,2009-10,201002,0
State,Maryland,All,2009-10,201022,0
Region,NA,All,2009-10,201029,0
State,New York City,All,2009-10,201013,0
State,Michigan,All,2009-10,201002,0
State,Nevada,All,2009-10,200943,0
State,North Dakota,All,2009-10,201010,0
State,Missouri,All,2009-10,201002,0
State,Nebraska,All,2009-10,201004,0
Region,NA,All,2009-10,201014,0
Region,NA,All,2009-10,201031,0
State,Missouri,All,2009-10,200944,0
Region,NA,All,2009-10,201013,0
Region,NA,All,2009-10,201023,1
Region,NA,All,2009-10,201029,0
State,Illinois,All,2009-10,201016,0
National,NA,65 years and older,2009-10,201003,7
State,District of Columbia,All,2009-10,201003,0
State,Vermont,All,2009-10,201020,0
State,Montana,All,2009-10,201031,0
State,Hawaii,All,2009-10,201023,0
State,Nebraska,All,2009-10,201022,0
State,Colorado,All,2009-10,201015,0
Region,NA,All,2009-10,201014,1
Region,NA,All,2009-10,201032,1
State,Indiana,All,2009-10,200952,0
State,Kentucky,All,2009-10,201032,0
State,Kansas,All,2009-10,201024,0
State,Arkansas,All,2009-10,201037,0
State,North Dakota,All,2009-10,201007,0
State,North Carolina,All,2009-10,201039,0
State,Indiana,All,2009-10,201026,0
State,Maine,All,2009-10,201027,0
State,Pennsylvania,All,2009-10,201037,0
State,Wisconsin,All,2009-10,201020,0
State,Missouri,All,2009-10,201030,0
State,Washington,All,2009-10,201012,0
State,Florida,All,2009-10,201002,0
State,Louisiana,All,2009-10,201036,0
State,South Carolina,All,2009-10,201026,0
State,Washington,All,2009-10,201030,0
State,Delaware,All,2009-10,201021,0
State,Missouri,All,2009-10,201039,0
State,Pennsylvania,All,2009-10,201003,0
Region,NA,All,2009-10,200943,13
State,South Dakota,All,2009-10,201035,0
State,Texas,All,2009-10,200945,0
State,Illinois,All,2009-10,201012,0
State,Alabama,All,2009-10,201003,0
State,Oregon,All,2009-10,200948,0
State,Minnesota,All,2009-10,201015,0
State,New Mexico,All,2009-10,201039,0
State,Colorado,All,2009-10,200948,0
State,North Dakota,All,2009-10,201016,0
State,Utah,All,2009-10,201025,0
State,Minnesota,All,2009-10,201037,0
State,Pennsylvania,All,2009-10,201015,0
State,South Dakota,All,2009-10,201037,0
State,Montana,All,2009-10,201021,0
State,Oklahoma,All,2009-10,201011,0
State,Iowa,All,2009-10,200945,0
State,Mississippi,All,2009-10,201036,0
State,District of Columbia,All,2009-10,201009,0
Region,NA,All,2009-10,201011,14
State,Massachusetts,All,2009-10,201017,0
State,Mississippi,All,2009-10,201028,0
State,South Dakota,All,2009-10,200952,0
State,Tennessee,All,2009-10,201002,0
State,Louisiana,All,2009-10,201009,0
State,Montana,All,2009-10,201036,0
State,Ohio,All,2009-10,201020,0
State,New Mexico,All,2009-10,200943,0
National,NA,18-64 years,2009-10,201018,6
State,Illinois,All,2009-10,200950,0
State,Nebraska,All,2009-10,201016,0
State,Idaho,All,2009-10,201029,0
State,Oregon,All,2009-10,201002,0
State,Texas,All,2009-10,201037,0
Region,NA,All,2009-10,200952,8
National,NA,All,2009-10,201019,4
State,Missouri,All,2009-10,201029,0
Region,NA,All,2009-10,201006,1
State,South Carolina,All,2009-10,201031,0
State,Hawaii,All,2009-10,201039,0
Region,NA,All,2009-10,201006,0
State,New York City,All,2009-10,201003,0
State,Oklahoma,All,2009-10,201029,0
State,Oklahoma,All,2009-10,201009,0
Region,NA,All,2009-10,200945,35
National,NA,18-64 years,2009-10,201027,2
State,New Hampshire,All,2009-10,201016,0
State,Alaska,All,2009-10,201039,0
Region,NA,All,2009-10,201006,0
State,Iowa,All,2009-10,201032,0
State,Michigan,All,2009-10,200941,0
State,New Hampshire,All,2009-10,201034,0
State,New York,All,2009-10,201027,0
State,Arizona,All,2009-10,201026,0
State,New York,All,2009-10,201018,0
State,Texas,All,2009-10,200951,0
State,Maryland,All,2009-10,201036,0
Region,NA,All,2009-10,200946,21
State,New Jersey,All,2009-10,200940,0
Region,NA,All,2009-10,200947,18
State,Illinois,All,2009-10,201027,0
State,Maryland,All,2009-10,201004,0
Region,NA,All,2009-10,201003,3
State,New Hampshire,All,2009-10,200943,0
Region,NA,All,2009-10,201026,0
Region,NA,All,2009-10,201001,3
Region,NA,All,2009-10,200945,19
State,Utah,All,2009-10,201026,0
State,West Virginia,All,2009-10,201020,0
State,Maryland,All,2009-10,201037,0
